,Dispay_inch,Hard_disk,Name,Operating_system,Price,Processor,RAM
0,33.78 cm (13.3 inch) Display,128 GB SSD,Apple MacBook Air Core i5 5th Gen ,64 bit Mac OS Operating System,"₹71,990",Intel Core i5 Processor (5th Gen),8 GB DDR3 RAM
1,39.62 cm (15.6 inch) Display,500 GB HDD,Acer Aspire 3 Pentium Gold ,64 bit Windows 10 Operating System,"₹17,990",Intel Pentium Gold Processor,4 GB DDR4 RAM
2,FineTip Backlit Keyboard with Independent Standard Numeric Keypad,Dual Fan Cooling with Metal AeroBlade for Interuption Free Gaming,Acer Predator Helios 300 Core i5 8th Gen ,128 GB SSD Capacity for Reduced Boot Up Time and in Game Loading,"₹69,990",NVIDIA Geforce GTX 1050 Ti for Desktop Level Performance,Optimized Dolby Audio Premium Sound Enhancement
3,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
4,1 Year,35.56 cm (14 inch) Display,iball Compbook Celeron Dual Core 7th Gen ,64 bit Windows 10 Operating System,"₹9,999",Intel Celeron Dual Core Processor (7th Gen),3 GB DDR3 RAM
5,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,HP 15 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹33,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
6,35.56 cm (14 inch) Display,1 TB HDD,Dell Inspiron 14 3000 Core i3 7th Gen ,Linux/Ubuntu Operating System,"₹25,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
7,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q APU Dual Core A9 ,64 bit Windows 10 Operating System,"₹24,990",AMD APU Dual Core A9 Processor,4 GB DDR4 RAM
8,39.62 cm (15.6 inch) Display,512 GB SSD,MSI GL63 Core i5 9th Gen ,64 bit Windows 10 Operating System,"₹58,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM
9,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i5 8th Gen ,DOS Operating System,"₹42,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
10,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Pentium Gold ,64 bit Windows 10 Operating System,"₹21,990",Intel Pentium Gold Processor,4 GB DDR4 RAM
11,1 TB HDD,64 bit Windows 10 Operating System,Asus Pentium Quad Core ,4 GB DDR4 RAM,"₹18,990",HD LCD Anti-glare Display,Intel Pentium Quad Core Processor
12,39.62 cm (15.6 inch) Display,1 TB HDD,Asus ROG Strix G Core i5 9th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM
13,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
14,1 Year Onsite Warranty,29.46 cm (11.6 inch) Display,Asus Vivo Celeron Dual Core ,64 bit Windows 10 Operating System,"₹15,990",Intel Celeron Dual Core Processor,2 GB DDR4 RAM
15,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 3 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹33,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
16,1 TB HDD,64 bit Windows 10 Operating System,Asus Core i5 8th Gen ,8 GB DDR4 RAM,"₹42,990",Full HD LCD Anti-glare Display,Intel Core i5 Processor (8th Gen)
17,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹35,990",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM
18,35.56 cm (14 inch) Display,1 TB HDD,HP 14q Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹28,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
19,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
20,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹30,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
21,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹43,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
22,35.56 cm (14 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook S Series Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹72,490",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
23,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
24,35.56 cm (14 inch) Display,1 TB HDD,Dell Vostro 14 3000 Core i5 8th Gen ,Linux/Ubuntu Operating System,"₹38,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
25,35.56 cm (14 inch) Display,512 GB SSD,Asus VivoBook 14 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
26,500 GB HDD,64 bit Windows 10 Operating System,Asus APU Dual Core E1 ,4 GB DDR3 RAM,"₹17,990",HD LCD Anti-glare Display,AMD APU Dual Core E1 Processor
27,39.62 cm (15.6 inch) Display,1 TB HDD,Asus X Series Core i3 7th Gen ,64 bit Endless Operating System,"₹25,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
28,35.56 cm (14 inch) Display,1 TB HDD,Dell Vostro 14 3000 Core i5 8th Gen ,Windows 10 Operating System,"₹43,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
29,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
30,39.62 cm (15.6 inch) Display,1 TB HDD,Asus VivoBook Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹35,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM
31,35.56 cm (14 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook S Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
32,35.56 cm (14 inch) Display,1 TB HDD,HP 14q Core i3 7th Gen ,DOS Operating System,"₹26,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
33,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
34,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
35,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹35,990",AMD Ryzen 5 Quad Core Processor,4 GB DDR4 RAM
36,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Nitro 5 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹67,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
37,35.56 cm (14 inch) Display,1 TB HDD,HP 14q Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
38,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹49,990",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM
39,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
40,25.65 cm (10.1 inch) Touchscreen Display,32 bit Windows 10 Operating System,Acer Switch One Atom Quad Core ,2 GB DDR3 RAM,"₹13,990","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Atom Quad Core Processor
41,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 APU Dual Core A6 ,64 bit Windows 10 Operating System,"₹20,990",AMD APU Dual Core A6 Processor,4 GB DDR4 RAM
42,35.56 cm (14 inch) Display,256 GB SSD,Asus VivoBook 14 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹33,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
43,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
44,35.56 cm (14 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook S14 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹59,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
45,1 TB HDD,64 bit Windows 10 Operating System,Asus Core i3 7th Gen ,4 GB DDR4 RAM,"₹26,990",HD LCD Anti-glare Display,Intel Core i3 Processor (7th Gen)
46,35.56 cm (14 inch) Display,1 TB HDD,HP G6 APU Dual Core A6 ,DOS Operating System,"₹19,490",AMD APU Dual Core A6 Processor,4 GB DDR4 RAM
47,500 GB HDD,64 bit Windows 10 Operating System,Asus APU Quad Core E2 ,4 GB DDR3 RAM,"₹18,990",HD LCD Anti-glare Display,AMD APU Quad Core E2 Processor
48,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Acer Nitro 5 Core i5 9th Gen ,64 bit Windows 10 Operating System,"₹74,990",Intel Core i5 Processor (9th Gen),8 GB DDR4 RAM
49,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
50,39.62 cm (15.6 inch) Display,1 TB HDD|128 GB SSD,HP Pavilion 15 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹62,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
51,1 TB HDD,64 bit Windows 10 Operating System,Asus Core i3 7th Gen ,4 GB DDR4 RAM,"₹26,990",HD LCD Anti-glare Display,Intel Core i3 Processor (7th Gen)
52,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Pentium Quad Core ,DOS Operating System,"₹19,990",Intel Pentium Quad Core Processor,4 GB DDR4 RAM
53,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
54,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Celeron Dual Core ,64 bit Windows 10 Operating System,"₹20,390",Intel Celeron Dual Core Processor,4 GB DDR4 RAM
55,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹43,990",Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM
56,35.56 cm (14 inch) Display,256 GB SSD,Asus VivoBook 14 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹33,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
57,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹49,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
58,39.62 cm (15.6 inch) Display,256 GB SSD,HP 15 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹48,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
59,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
60,35.56 cm (14 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook S Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
61,AMD APU Dual Core A6 Processor,No Vibrations or Noise,HP 14q APU Dual Core A6 ,More Energy Efficient,"₹20,990",Fast Performance (Upto 30% Faster than HDD Storage),Upto 75% Reduction in System Boot Up Time
62,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹33,490",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
63,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
64,35.56 cm (14 inch) Display,500 GB HDD,Lenovo Ideapad 330 APU Dual Core A6 ,64 bit Windows 10 Operating System,"₹19,990",AMD APU Dual Core A6 Processor,4 GB DDR4 RAM
65,33.78 cm (13.3 inch) Display,512 GB SSD,Apple MacBook Pro Core i5 8th Gen ,Mac OS Operating System,"₹1,59,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
66,33.78 cm (13.3 inch) Display,256 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹55,490",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
67,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15q Pentium Quad Core ,DOS Operating System,"₹21,990",Intel Pentium Quad Core Processor,4 GB DDR4 RAM
68,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Acer Nitro 5 Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹84,990",Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM
69,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Core i5 8th Gen ,DOS Operating System,"₹41,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
70,39.62 cm (15.6 inch) Display,512 GB SSD,MSI GF63 Thin Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹84,990",Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM
71,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
72,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Core i3 6th Gen ,64 bit Windows 10 Operating System,"₹32,690",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
73,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
74,39.62 cm (15.6 inch) Display,1 TB HDD,Asus Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹41,890",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
75,35.56 cm (14 inch) Touchscreen Display,1 TB HDD|256 GB SSD,HP Pavilion x360 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹52,919",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
76,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹38,948",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM
77,29.46 cm (11.6 inch) Touchscreen Display,500 GB HDD,Acer Spin 1 Pentium Quad Core ,64 bit Windows 10 Operating System,"₹28,999",Intel Pentium Quad Core Processor,4 GB DDR4 RAM
78,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Core i5 8th Gen ,DOS Operating System,"₹41,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
79,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
80,35.56 cm (14 inch) Touchscreen Display,1 TB HDD,Dell Inspiron 14 5000 Series Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹49,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
81,35.56 cm (14 inch) Touchscreen Display,1 TB HDD,Lenovo Yoga 520 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹42,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
82,33.78 cm (13.3 inch) Display,512 GB SSD,Apple MacBook Pro Core i5 8th Gen ,Mac OS Operating System,"₹1,59,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
83,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
84,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,DOS Operating System,"₹33,990",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM
85,35.56 cm (14 inch) Display,1 TB HDD,Dell Inspiron 14 3000 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹54,052",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
86,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330E Core i5 8th Gen ,DOS Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
87,33.78 cm (13.3 inch) Display,256 GB SSD,Apple MacBook Air Core i5 8th Gen ,Mac OS Operating System,"₹1,27,990",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
88,35.56 cm (14 inch) Touchscreen Display,256 GB SSD,HP Pavilion x360 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹65,890",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
89,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
90,Asus Splendid Visual Optimization Technology,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Asus VivoBook APU Dual Core A9 ,Asus Fast Charge Technology,"₹21,990",A USB 3.1 Port with a Reversible USB Type-C Connector Makes Connecting Devices Quick and Easy,Asus 348 mm Keyboard with 19 mm Full Size Key Pitch
91,39.62 cm (15.6 inch) Display,1 TB SSD,Asus ROG Strix Scar III Core i7 9th Gen ,64 bit Windows 10 Operating System,"₹1,99,990",Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM
92,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo IdeaPad 330 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹42,999",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
93,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
94,35.56 cm (14 inch) Touchscreen Display,1 TB HDD,Dell Inspiron 14 5000 Series Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i3 Processor (8th Gen),8 GB DDR4 RAM
95,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 Core i3 7th Gen ,DOS Operating System,"₹33,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
96,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook 15 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹61,590",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
97,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus Vivobook 15 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹57,989",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
98,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 6th Gen ,64 bit Windows 10 Operating System,"₹28,450",Intel Core i3 Processor (6th Gen),4 GB DDR4 RAM
99,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹36,990",Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM
100,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 330 Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹30,777",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
101,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 5 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹46,999",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
102,39.62 cm (15.6 inch) Display,1 TB HDD,HP Pavilion Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹42,990",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM
103,35.56 cm (14 inch) Display,256 GB SSD,Avita Liber Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
104,43.94 cm (17.3 inch) Display,1 TB HDD,Asus TUF Ryzen 5 Quad Core ,64 bit Windows 10 Operating System,"₹60,300",AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM
105,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 320 Celeron Dual Core 7th Gen ,64 bit Windows 10 Operating System,"₹23,999",Intel Celeron Dual Core Processor (7th Gen),4 GB DDR4 RAM
106,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Asus TUF Series Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹1,09,900",Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM
107,39.62 cm (15.6 inch) Display,1 TB HDD,Dell Inspiron 15 3000 Series Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
108,35.56 cm (14 inch) Display,256 GB SSD,Lenovo Ideapad S340 Core i3 8th Gen ,64 bit Windows 10 Operating System,"₹39,299",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
109,35.56 cm (14 inch) Display,128 GB SSD,Avita Liber Core i5 7th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (7th Gen),8 GB DDR3 RAM
110,1 TB HDD,64 bit Windows 10 Operating System,Lenovo Ideapad 320 Core i3 7th Gen ,4 GB DDR4 RAM,"₹38,000","Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Intel Core i3 Processor (7th Gen)
111,39.62 cm (15.6 inch) Display,1 TB HDD,Asus VivoBook Core i3 7th Gen ,64 bit Windows 10 Operating System,"₹33,570",Intel Core i3 Processor (7th Gen),8 GB DDR4 RAM
112,39.62 cm (15.6 inch) Display,1 TB HDD|256 GB SSD,Dell Inspiron 15 7000 Core i7 8th Gen ,64 bit Windows 10 Operating System,"₹87,990",Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM
113,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i3 7th Gen ,DOS Operating System,"₹30,990",Intel Core i3 Processor (7th Gen),4 GB DDR4 RAM
114,35.56 cm (14 inch) Display,1 TB HDD,HP G6 APU Dual Core A9 ,DOS Operating System,"₹21,390",AMD APU Dual Core A9 Processor,4 GB DDR4 RAM
115,39.62 cm (15.6 inch) Display,1 TB HDD,Acer Aspire 5 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹49,960",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
116,39.62 cm (15.6 inch) Display,1 TB HDD,HP 15 APU Dual Core A6 ,DOS Operating System,"₹25,397",AMD APU Dual Core A6 Processor,4 GB DDR4 RAM
117,39.62 cm (15.6 inch) Display,2 TB HDD,Dell Inspiron 15 5000 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹60,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
118,33.02 cm (13 inch) Display,256 GB SSD,Dell XPS 13 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹96,900",Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM
119,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹45,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
120,35.56 cm (14 inch) Display,1 TB HDD|256 GB SSD,Asus VivoBook S Series Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹64,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
121,39.62 cm (15.6 inch) Display,1 TB HDD,Lenovo Ideapad 130 Core i5 8th Gen ,64 bit Windows 10 Operating System,"₹49,990",Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM
122,35.56 cm (14 inch) Touchscreen Display,1 TB HDD,HP Windows 10 Core i3 8th Gen ,Windows 10 Operating System,"₹44,990",Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM
